List_Number,Name,Category,Type,MW,Density,Temperature,Refractive_Index,Melting_Point,Pressure,Boiling_Point,Dielectric_Constant
896,"1,2,3-Tribromobutane",alkane,None,294.84,2.1938,0,1.568,-19,21,113.5,0
897,Methyl Oleate,ester,None,296.5,0.8702,25,1.4502,19.9,0,217,3.21
898,Trichloroacetic Anhydride,other,None,308.76,1.6908,20,0,0,760,169,0
899,Di-N-Butyl Sebacate,ester,None,314.47,0.9366,20,1.4397,1,0,345,4.54
900,Di-Butyl Sebacate,ester,None,314.47,0.9324,25,1.4415,-11,0,345,4.54
901,Tetraethyl Lead,other,None,323.45,1.659,11,1.5915,-136.8,19,91,0
902,N-Butyl Oleate,ester,None,338.56,0.8657,25,1.448,-10,0,227.5,4
903,Butyl Stearate,ester,None,340.6,0.854,25,1.4422,26.3,0,222.5,3.11
904,"1,1,2,2-Tetrabromo Ethane",alkane,None,345.67,2.9529,25,1.6323,0,0,243.5,7
905,"1,1,1,2-Tetrabromo Ethane",alkane,None,345.7,2.8748,0,1.6277,0,0,103.5,0
906,Bis(2-Ethoxy Ethyl)Sebacate,ester,None,346.46,0.9953,25,1.444,-10,0,0,0
907,Tri(2-Tolyl)Phosphate,ester,None,368.36,1.183,25,1.5575,11,20,264,0
908,Bis(2-Ethyl Hexyl) Adipate,ester,None,370.58,0.922,25,1.4474,-67.8,5,214,0
909,Bis(2-Ethyl Hexyl) Phthalate,ester,None,390.57,0.9843,20,1.4859,-50,0,231,5.3
910,Bis(2-Ethyl Hexyl) Azelate,ester,None,412.66,0.915,25,1.446,-78,5,237,0
911,Bis(2-Ethyl Hexyl) Sebacate,ester,None,426.66,0.914,25,1.451,-48,5,256,4.03
